danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist
0.499,0.946,7,-5.88,1,0.0877,0.0246,0.331,0.804,109.428,172027,4,Tom Petty and the Heartbreakers
0.423,0.948,9,-3.482,1,0.0479,0.0,0.136,0.598,131.133,206093,4,Tom Petty and the Heartbreakers
0.47,0.971,9,-3.79,0,0.0609,0.0128,0.184,0.561,134.507,190307,4,Tom Petty and the Heartbreakers
0.535,0.82,6,-5.285,0,0.043,3.11e-05,0.334,0.773,116.988,209813,4,Tom Petty and the Heartbreakers
0.361,0.874,0,-4.933,1,0.0597,0.000184,0.348,0.668,207.024,195573,4,Tom Petty and the Heartbreakers
0.448,0.883,2,-3.896,1,0.0457,0.0,0.098,0.628,96.194,152547,4,Tom Petty and the Heartbreakers
0.546,0.332,7,-10.882,1,0.0309,2.65e-05,0.273,0.498,156.438,129347,4,Tom Petty and the Heartbreakers
0.261,0.925,9,-5.448,1,0.0813,1.73e-05,0.0964,0.322,139.621,257307,4,Tom Petty and the Heartbreakers
0.458,0.835,2,-4.008,1,0.034,0.00195,0.246,0.353,114.539,167880,4,Tom Petty and the Heartbreakers
0.185,0.953,5,-4.775,1,0.0606,0.000313,0.465,0.414,172.925,185627,4,Tom Petty and the Heartbreakers
0.733,0.949,0,-4.253,0,0.0546,4.19e-05,0.165,0.735,120.394,315040,4,Tom Petty and the Heartbreakers
0.523,0.857,2,-6.625,1,0.0686,1.68e-05,0.319,0.727,87.658,208280,4,Tom Petty and the Heartbreakers
0.687,0.612,2,-4.777,1,0.0446,0.0,0.125,0.801,128.373,179427,4,Tom Petty and the Heartbreakers
0.529,0.775,8,-5.284,0,0.0267,3.87e-05,0.275,0.718,98.178,267600,4,Tom Petty and the Heartbreakers
0.596,0.728,9,-5.275,0,0.0278,1.53e-06,0.452,0.551,114.945,239693,4,Tom Petty and the Heartbreakers
0.73,0.296,2,-12.43,0,0.0276,0.000457,0.125,0.468,108.043,206120,4,Tom Petty and the Heartbreakers
0.511,0.774,9,-4.281,1,0.0276,7.69e-06,0.265,0.74,115.385,274813,4,Tom Petty and the Heartbreakers
0.626,0.505,2,-7.212,1,0.0234,0.00157,0.147,0.506,92.275,279493,4,Tom Petty and the Heartbreakers
0.625,0.875,10,-5.405,0,0.0276,2.38e-05,0.148,0.778,103.03,168960,4,Tom Petty and the Heartbreakers
0.621,0.505,11,-11.477,0,0.0331,0.0182,0.121,0.442,111.984,229533,4,Tom Petty and the Heartbreakers
0.612,0.559,4,-4.915,1,0.0264,0.00837,0.13,0.775,101.456,251853,4,Tom Petty and the Heartbreakers
0.612,0.681,9,-5.816,0,0.0268,0.0213,0.0952,0.429,107.296,184960,4,Tom Petty and the Heartbreakers
0.683,0.523,9,-7.743,0,0.0307,0.0039,0.0948,0.22,95.041,403160,4,Tom Petty and the Heartbreakers
0.579,0.705,6,-4.911,0,0.0339,0.0,0.0704,0.761,116.172,201693,4,Tom Petty and the Heartbreakers
0.578,0.734,4,-6.09,1,0.0304,0.233,0.165,0.373,104.851,264453,4,Tom Petty and the Heartbreakers
0.458,0.831,2,-5.439,1,0.0485,0.0212,0.22,0.61,131.104,239333,4,Tom Petty and the Heartbreakers
0.462,0.915,9,-4.39,1,0.0309,0.000212,0.063,0.585,141.511,264453,4,Tom Petty and the Heartbreakers
0.485,0.957,2,-3.678,1,0.0685,0.00108,0.322,0.894,151.39,223253,4,Tom Petty and the Heartbreakers
0.758,0.805,0,-4.243,1,0.0279,1.53e-05,0.0982,0.961,116.543,161787,4,Tom Petty and the Heartbreakers
0.642,0.797,9,-5.889,1,0.0238,0.0086,0.0692,0.873,108.98,273573,4,Tom Petty and the Heartbreakers
